-139.75844652286702,-29.335258214689453,-127.11097476286702,-12.221816414689453|9960
-69.62125449210033,-73.90313229427312,-28.637900492100336,-55.20391269427312|9916
-125.11018609197299,-32.53145264770163,-107.825210891973,-14.708452647701627|9932
-72.60640025860674,-45.34660260688414,-57.37840025860674,-38.34310260688414|9926
-38.02690546445715,-25.365603182108735,-22.78390546445715,-18.375603182108733|9954
-146.3991386549344,-56.42880965424666,-113.43501265493441,-40.771011654246664|9998
-39.91929535050644,-49.535637992177584,-13.783295350506439,-34.84763799217758|9958
-26.930614237063615,-81.43034410341629,33.069385762936385,-51.59234410341629|9946
-142.41456570407564,-16.877324320741497,-128.15276250407564,-7.953609520741498|9938
-69.33793626211214,-38.4276544945922,-38.69616685084814,-34.737901974063554|9916
-167.41148015333565,-59.73386293273698,-135.54548015333563,-44.73386293273698|9990
-78.2886952151565,-67.33291924177375,-46.5175936151565,-51.73840444177375|9954
-124.26460692842906,-88.98981452941457,-37.88744001657149,-66.31569108646777|9900
-45.939654561891146,-20.032413568302424,-38.07815456189115,-16.197663568302424|9970
-102.09725931972457,-77.21588475953764,-60.30043851972457,-58.991961759537645|9982
-102.63118450465065,-29.274273395880318,-81.07145950465065,-17.683288483380316|9994
-56.30160955325772,-60.1165212975587,-23.409609553257717,-45.1165212975587|9900
-90.07628451085971,-11.085881684337338,-69.22209351085971,-7.981346305617338|9946
-7.016505587125326,-37.19152840281483,10.046809212874674,-25.69485659961483|9968
-13.133059767148676,-38.012566221180066,5.117536232851325,-25.390617021180066|9962
-8.511319986803157,-57.559041080700084,34.895590094556844,-38.03294708070008|9994
-121.19553796719295,-38.21943278143789,-99.55353796719295,-23.219432781437888|9912
-67.63643609227034,-88.7328575221192,-5.764316092270349,-60.246799362119205|9928
-170.30949797314088,-43.36743347357916,-152.96240117314088,-27.71268947357916|9980
-1.5444672785228586,-80.94113005174243,60.81953272147714,-52.14665245174243|9998
-89.63795115239436,-83.01714333519519,-42.85289955239436,-60.103143335195185|9962
-130.87272549015574,-23.449340572210296,-121.32921549015575,-0.6883405722102971|9978
-24.34458500493982,-74.34437967977547,49.23465699314019,-52.35146561849547|9914
-57.522389593658595,-50.48211416033681,-50.48245651315268,-31.421963701136814|9934
-37.45308990599001,-3.8874978142195618,-28.17648060599001,0.207502185780438|9938
-7.789653204089706,-33.103066991388644,8.515346795910293,-22.861741391388644|9958
-48.80801944380126,-60.487893825871524,-14.775646243801255,-44.53581922587152|9966
-150.69467326233382,-81.76002274238824,-103.71758926233382,-60.061022742388246|9954
-140.1242533597442,-37.4324667141721,-119.63425335974418,-20.2814667141721|9918
-112.23336296506088,-66.16637348029762,-79.28195456506089,-51.17837168029762|9998
-102.73047053837405,-73.13844806793968,-63.37002773837405,-56.823593667939676|9994
-170.08832454229406,-62.09517433630054,-137.42432454229407,-46.92417433630054|9980
